Course Code,Section Code,Section Display Name,Est. Enroll.,ISBN,Title,Author,Publisher,Date,Edition,Required?,Supplier,Link,OK to Use Newer Edition?,OK to Use Older Edition?,Section Status,Submitted By
ACCT 6901,601,Daniel Schisler,,978-1-260-43306-7,Loose Leaf for Mcgraw-Hill's Taxation of Business Entities 2021 Edition,"Lewis, Troy, Ayers, Benjamin C., Worsham, Ronald G., Spilker, Brian C., and Barrick, John A.",McGraw-Hill Education,4/29/2020,12,choice,,,,,Approved,Daniel Schisler
ACCT 6971,601,Denise Dickins,30,978-0-9897101-1-4,A Real Look at Real World Corporate Governance,"Larcker, David and Tayan, Brian",Larcker-Tayan,8/31/2013,,required,,,,,Approved,Denise Dickins
ACCT 6971,601,Denise Dickins,30,978-1-259-96946-1,Ethical Obligations and Decision Making in Accounting : Text and Cases,"Mintz, Steven M.",McGraw-Hill Higher Education,1/1/2020,,required,,,,,Approved,Denise Dickins
ADED 6100,601,Phyllis Broughton,18,978-1-119-04959-3,Student Services : A Handbook for the Profession,Schuh,"Wiley & Sons, Incorporated, John",10/24/2016,6,required,,,,,Approved,Phyllis Broughton
ADED 6240,601,Tara Thompson,,978-1-133-93679-4,McKeachie's Teaching Tips,"McKeachie, Wilbert and Svinicki, Marilla",Wadsworth,1/1/2013,14,required,,,,,Approved,Tara Thompson
ADED 6240,601,Tara Thompson,,978-1-118-18068-6,Evidence-Based Teaching,TL (Teaching and Learning) and Teaching and Learning Staff,"Wiley & Sons, Incorporated, John",1/11/2012,,required,,,,,Approved,Tara Thompson
ADED 6445,601,Christy Rhodes,15,978-1-118-95509-3,Foundations of Adult and Continuing Education,"Ross-Gordon, Jovita M., Rose, Amy D., and Kasworm, Carol E.","Wiley & Sons, Incorporated, John",12/27/2016,,required,,,*,*,Approved,Christy Rhodes
ADED 6450,601,Phyllis Broughton,18,978-1-60709-654-2,Strategic Leadership,"Morrill, Richard L.",Rowmn,3/16/2010,,required,,,,,Approved,Phyllis Broughton
ADED 6450,601,Phyllis Broughton,18,978-1-118-44981-3,The American Community College,"Cohen, Arthur M., Brawer, Florence B., and Kisker, Carrie B.","Wiley & Sons, Incorporated, John",9/16/2013,6,required,,,,,Approved,Phyllis Broughton
ADED 6453,601,Kathy Lohr,,978-1-119-49048-7,Learning in Adulthood : A Comprehensive Guide,"Merriam, Sharan B., Baumgartner, Lisa M., and Caffarella, Rosemary S.","Wiley & Sons, Incorporated, John",2/5/2020,4,required,,,,,Approved,Kathy Lohr
ADED 6453,602,Kathy Lohr,15,978-1-119-49048-7,Learning in Adulthood : A Comprehensive Guide,"Merriam, Sharan B., Baumgartner, Lisa M., and Caffarella, Rosemary S.","Wiley & Sons, Incorporated, John",2/5/2020,4,required,,,,,Approved,Kathy Lohr
ADED 6487,601,Kathy Lohr,,978-0-7879-6893-9,Teaching Intensive and Accelerated Courses : Instruction That Motivates Learning,"Wlodkowski, Raymond J. and Ginsberg, Margery B.","Wiley & Sons, Incorporated, John",8/9/2010,,required,,,,,Approved,Kathy Lohr
ADED 6487,601,Kathy Lohr,,978-1-57524-319-1,Five Perspectives on Teaching : Mapping a Plurality of the Good in Teaching,"Pratt, Daniel D.",Krieger Publishing Company,11/1/2015,,required,,,,*,Approved,Kathy Lohr
ADED 6491,601,Christy Rhodes,25,978-0-13-477565-4,Practical Research : Planning and Design,"Leedy, Paul D., Ormrod, Jeanne Ellis, Leedy, Paul, and Ormrod, Jeanne",Pearson Education,2/9/2018,12,required,,,*,,Approved,Christy Rhodes
ADED 6491,602,Christy Rhodes,25,978-0-13-477565-4,Practical Research : Planning and Design,"Leedy, Paul D., Ormrod, Jeanne Ellis, Leedy, Paul, and Ormrod, Jeanne",Pearson Education,2/9/2018,12,required,,,*,,Approved,Christy Rhodes
ADED 6495,601,Steven Schmidt,15,978-1-5063-5744-7,Program Evaluation : Embedding Evaluation into Program Design and Development,"Giancola, Susan P.","SAGE Publications, Incorporated",2/14/2020,,required,,,*,,Approved,Steven Schmidt
ADED 6495,602,Steven Schmidt,15,978-1-5063-5744-7,Program Evaluation : Embedding Evaluation into Program Design and Development,"Giancola, Susan P.","SAGE Publications, Incorporated",2/14/2020,,required,,,*,,Approved,Steven Schmidt
ADRE 3000,601,Jennifer McDougal,20,978-1-4164-1000-3,"Disability, Society, and the Individual","Smart, Julie","PRO-ED, Incorporated",12/1/2015,3,required,,,*,,Approved,Jennifer McDougal
ADRE 3010,1,Jennifer McDougal,8,978-1-4164-1088-1,Case Management and Rehabilitation Counseling : Procedures and Techniques,"Roessler, Richard, Rubin, Stanford E., Rumrill, Phillip D., and Roessler, Richard T.","PRO-ED, Incorporated",12/14/2017,5,required,,,*,,Approved,Jennifer McDougal
ADRE 4000,1,Jennifer McDougal,8,978-1-305-27150-0,Essential Interviewing : A Programmed Approach to Effective Communication,"Evans, David R., Hearn, Margaret T., Uhlemann, Max R., and Ivey, Allen E.",Brooks/Cole,1/1/2016,9,required,,,*,,Approved,Jennifer McDougal
ADRE 4793,601,,,978-0-13-516693-2,Foundations of Addictions Counseling,"Capuzzi, David, Stauffer, Mark D., and Stauffer, Mark",Pearson Education,5/25/2019,4,required,,,,,Approved,
ADRE 6050,601,Susan Sherman,30,978-1-305-38945-8,"Issues and Ethics in the Helping Professions, Updated with 2014 ACA Codes (Book Only)","Corey, Cindy, Callanan, Patrick, Corey, Marianne Schneider, and Corey, Gerald",Cengage Learning,7/18/2014,9,required,,,,,Approved,Susan Sherman
ADRE 6300,1,Jennifer McDougal,12,978-1-305-26372-7,Theory and Practice of Counseling and Psychotherapy,"Corey, Gerald",Brooks/Cole,1/1/2016,10,required,,,*,,Approved,Jennifer McDougal
ADRE 6300,1,Jennifer McDougal,12,978-0-13-469489-4,45 Techniques Every Counselor Should Know,"Erford, Bradley T. and Erford, Bradley",Pearson Education,1/28/2019,3,required,,,*,*,Approved,Jennifer McDougal
ADRE 6300,601,Jennifer McDougal,12,978-1-305-26372-7,Theory and Practice of Counseling and Psychotherapy,"Corey, Gerald",Brooks/Cole,1/1/2016,10,required,,,*,,Approved,Jennifer McDougal
ADRE 6300,601,Jennifer McDougal,12,978-0-13-469489-4,45 Techniques Every Counselor Should Know,"Erford, Bradley T. and Erford, Bradley",Pearson Education,1/28/2019,3,required,,,*,*,Approved,Jennifer McDougal
ADRE 6310,1,Jennifer McDougal,12,978-1-305-86578-5,Intentional Interviewing and Counseling : Facilitating Client Development in a Multicultural Society,"Ivey, Allen E., Ivey, Mary Bradford, Zalaquett, Carlos P., and Ivey, Allen",Brooks/Cole,1/1/2017,9,required,,,*,*,Approved,Jennifer McDougal
ADRE 6310,1,Jennifer McDougal,12,978-0-357-36627-1,Becoming a Helper,"Corey, Marianne Schneider and Corey, Gerald",Brooks/Cole,1/1/2020,8,required,,,,,Approved,Jennifer McDougal
ADRE 6370,601,Susan Sherman,,978-1-4129-9952-6,Social Justice Counseling : The Next Steps Beyond Multiculturalism,"Chung, Rita Chi-Ying and Bemak, Frederic P.","SAGE Publications, Incorporated",10/20/2011,,required,,,,,Approved,Susan Sherman
ADRE 6370,601,Susan Sherman,,978-1-55620-369-5,Multicultural Issues in Counseling,Lee,American Counseling Assoc,1/1/2019,5ED,required,,,,,Approved,Susan Sherman
ADRE 6703,601,,,978-0-926544-39-0,Uppers Downers All Arounders 8th Ed,"Inaba, Darryl","CNS Publications, Inc.",8/5/2014,8,required,,,,,Approved,
ADRE 6793,601,,,978-0-13-516693-2,Foundations of Addictions Counseling,"Capuzzi, David, Stauffer, Mark D., and Stauffer, Mark",Pearson Education,5/25/2019,4,required,,,,,Approved,
ADRE 7601,1,Stephen Leierer,,978-0-7619-7101-6,Organizational Research Methods,"Brewerton, Paul M., Millward, Lynne J., and Millward, Lynne",Sage,7/12/2001,,required,,,*,*,Approved,Stephen Leierer
ADRE 7601,1,Stephen Leierer,,978-0-8400-3427-4,Management of Human Service Programs,"Lewis, Judith A., Packard, Thomas R., and Lewis, Michael D.",Brooks/Cole,8/15/2011,5,required,,,*,*,Approved,Stephen Leierer
ADRE 7601,1,Stephen Leierer,,978-1-5063-6231-1,Leadership : Theory and Practice,"Northouse, Peter G.","SAGE Publications, Incorporated",3/16/2018,8,required,,,*,*,Approved,Stephen Leierer
ADRE 7601,1,Stephen Leierer,,978-1-4699-5590-2,The Elements of Style: Updated and Annotated for Present-Day Use,"Pritchard, Stanford",CreateSpace Independent Publishing Platform,1/20/2012,,required,,,*,*,Approved,Stephen Leierer
ADRE 7601,1,Stephen Leierer,,978-1-4338-3216-1,Publication Manual of the American Psychological Association,American Psychological Association,American Psychological Association,10/1/2019,7,required,,,,,Approved,Stephen Leierer
ANTH 1001,603,Charles Ewen,,978-0-19-009641-0,"Frauds, Myths, and Mysteries : Science and Pseudoscience in Archaeology","Feder, Kenneth L.","Oxford University Press, Incorporated",12/23/2019,10,required,,,*,*,Approved,Charles Ewen
ANTH 1001,601,Heidi Luchsinger,,978-0-19-009641-0,"Frauds, Myths + Mysteries",Feder,Oxford,1/1/2020,10,required,,,,,Approved,
ANTH 1001,602,Heidi Luchsinger,,978-0-19-009641-0,"Frauds, Myths + Mysteries",Feder,Oxford,1/1/2020,10,required,,,,,Approved,
ANTH 1001,604,Laura Mazow,116,978-0-19-009641-0,"Frauds, Myths, and Mysteries : Science and Pseudoscience in Archaeology","Feder, Kenneth L.","Oxford University Press, Incorporated",12/23/2019,10,required,,,*,,Approved,Laura Mazow
ANTH 1050,602,Benjamin Brooks,20,978-1-4786-3063-0,Distant Mirrors : America As a Foreign Culture,,"Waveland Press, Incorporated",12/1/2015,4,required,,,,,Approved,Benjamin Brooks
ANTH 1050,606,Benjamin Brooks,20,978-1-4786-3063-0,Distant Mirrors : America As a Foreign Culture,,"Waveland Press, Incorporated",12/1/2015,4,required,,,,,Approved,Benjamin Brooks
ANTH 1200,601,James Loudon,116,978-0-684-83929-5,The Serpent and the Rainbow,"Davis, Wade",Simon & Schuster,8/5/1997,,required,,,,,Approved,James Loudon
ANTH 1200,601,James Loudon,116,978-1-4516-6799-8,The Science of Monsters : The Origins of the Creatures We Love to Fear,"Kaplan, Matt",Scribner,10/8/2013,,required,,,,,Approved,James Loudon
ANTH 2010,601,Robert Bunger,50,978-0-88133-435-7,Netsilik Eskimo (w/276 Pgs),"Balikci, Asen",Wave,5/1/1989,,required,,,*,*,Approved,Robert Bunger
ANTH 2010,601,Robert Bunger,50,978-0-8400-0097-2,Fields On The Hoof,EKVALL,Ecurc,,,required,,,*,*,Approved,Robert Bunger
ANTH 2010,601,Robert Bunger,50,978-0-520-05065-5,Jivaro,"Harner, Michael J.",Ucal,9/25/1984,,required,,,*,*,Approved,Robert Bunger
ANTH 2200,299,Benjamin Brooks,30,978-0-520-07634-1,Susto : A Folk Illness,"Rubel, Arthur J., Collado-Ardon, Rolando, and O'Nell, Carl W.",University of California Press,10/10/1991,,required,,,,,Approved,Benjamin Brooks
ANTH 2200,299,Benjamin Brooks,30,978-0-8165-2732-8,Diabetes among the Pima : Stories of Survival,"Smith-Morris, Carolyn",University of Arizona Press,3/6/2008,,required,,,,,Approved,Benjamin Brooks
ANTH 2200,299,Benjamin Brooks,30,978-0-299-16694-6,"Biomedicine and Alternative Healing Systems in America : Issues of Class, Race, Ethnicity, and Gender","Baer, Hans A.",University of Wisconsin Press,5/2/2001,,required,,,,,Approved,Benjamin Brooks
ANTH 2200,299,Benjamin Brooks,30,978-1-138-20186-6,Exploring Medical Anthropology,"Joralemon, Donald",Routledge,3/23/2017,4,required,,,,,Approved,Benjamin Brooks
ANTH 2200,299,Benjamin Brooks,30,978-0-13-473393-7,Cultural Anthropology (e-book) avail Dowdy Store+Compare Link ,Ember,Pearson,1/1/2019,15,required,,,,,Approved,Benjamin Brooks
ANTH 2200,601,Robert Bunger,30,978-0-19-092475-1,Core Concepts in Cultural Anthropology,"Lavenda, Robert H. and Schultz, Emily A.","Oxford University Press, Incorporated",3/14/2019,7,required,,,*,*,Approved,Robert Bunger
ANTH 2250,601,Eric Bailey,40,978-1-4408-5457-6,"Race and Ethnic Relations on Campus : Understanding, Empowerment, and Solutions for College Students","Bailey, Eric J.","Abc-clio, Llc",9/7/2018,,required,,,*,*,Approved,Eric Bailey
ANTH 2250,601,Eric Bailey,40,978-0-205-06447-2,Race and Ethnicity : The United States and the World,"Thomas, Ellen L., Robinson, H. Alan, and Scupin, Raymond",Prentice Hall PTR,7/13/2011,2,optional,,,,*,Approved,Eric Bailey
ANTH 3003,601,Robert Bunger,20,978-0-88133-038-0,Yoruba Of Southwestern Nigeria,"Bascom, William",Wave,1/1/1984,,required,,,*,*,Approved,Robert Bunger
ANTH 3003,601,Robert Bunger,20,978-0-19-500322-2,Nuer: Nilotic People,"Evans-Pritchard, E. E. and Evans-Pritchard, Edward E.",Oup,7/15/1969,,required,,,*,*,Approved,Robert Bunger
ANTH 3003,601,Robert Bunger,20,978-1-111-82877-6,The Dobe Ju/'Hoansi,"Lee, Richard B.",Wadsworth,2/27/2012,4,required,,,*,*,Approved,Robert Bunger
ANTH 3050,601,Benjamin Brooks,25,978-1-4422-6888-3,Research Methods in Anthropology : Qualitative and Quantitative Approaches,"BERNARD, H. Russell and Bernard, H. Russell","Rowman & Littlefield Publishers, Incorporated",11/17/2017,6,required,,,,,Approved,Benjamin Brooks
ANTH 3077,601,Isaac Daniel,20,978-1-305-67040-2,Archaeology,"Kelly, Robert L. and Thomas, David Hurst",Wadsworth,1/1/2016,7,required,,,,,Approved,Isaac Daniel
ANTH 3252,601,Eric Bailey,40,978-1-62958-291-7,Understanding and Applying Medical Anthropology,,Routledge,1/15/2016,3,choice,,,*,*,Approved,Eric Bailey
ANTH 3252,601,Eric Bailey,40,978-0-89789-592-7,Medical Anthropology and African American Health,"Bailey, Eric J.","Abc-clio, Llc",2/28/2000,,required,,,,,Approved,Eric Bailey
ANTH 3300,601,Michael Aceto,20,978-0-8133-5060-8,"Language, Culture, and Society : An Introduction to Linguistic Anthropology","Stanlaw, James, Adachi, Nobuko, and Salzmann, Zdenek",Routledge,7/25/2017,7,required,,,*,*,Approved,Michael Aceto
ANTH 4400,601,Megan Perry,15,978-0-12-088467-4,Human Bone Manual,"White, Tim D. and Folkens, Pieter A.",Acad,11/8/2005,,required,,,,,Approved,Megan Perry
ANTH 5010,601,Isaac Daniel,5,978-1-305-67040-2,Archaeology,"Kelly, Robert L. and Thomas, David Hurst",Wadsworth,1/1/2016,7,required,,,,,Approved,Isaac Daniel
ANTH 5015,601,Benjamin Brooks,6,978-1-4422-6888-3,Research Methods in Anthropology : Qualitative and Quantitative Approaches,"BERNARD, H. Russell and Bernard, H. Russell","Rowman & Littlefield Publishers, Incorporated",11/17/2017,6,required,,,,,Approved,Benjamin Brooks
ANTH 5125,601,Charles Ewen,,978-1-59874-023-3,Historical Archaeology : Why the Past Matters,"Little, Barbara J.",Routledge,1/31/2007,,required,,,*,*,Approved,Charles Ewen
ANTH 5202,601,Michael Aceto,5,978-0-8133-5060-8,"Language, Culture, and Society : An Introduction to Linguistic Anthropology","Stanlaw, James, Adachi, Nobuko, and Salzmann, Zdenek",Routledge,7/25/2017,7,required,,,*,*,Approved,Michael Aceto
ANTH 6020,601,Megan Perry,4,978-0-12-088467-4,Human Bone Manual,"White, Tim D. and Folkens, Pieter A.",Acad,11/8/2005,,required,,,,,Approved,Megan Perry
ART 1011,601,Kate Bukoski,16,978-1-4534-0118-7,See Instructor For Course Materials ,Staff,,,,required,,,,,Approved,Kate Bukoski
ART 1014,602,Lisa Robinson,16,978-1-77046-369-1,Making Comics,"Barry, Lynda",Drawn & Quarterly Publications,11/5/2019,,required,,,*,,Approved,Lisa Robinson
ART 1014,605,Lisa Robinson,42,978-1-77046-369-1,Making Comics,"Barry, Lynda",Drawn & Quarterly Publications,11/5/2019,,required,,,*,,Approved,Lisa Robinson
ART 3850,601,Mary Arnold,,978-0-13-714582-9,Emphasis Art,"Clements, Robert D., Wachowiak, Frank D., Clements, Robert, and Wachowiak, Frank",Pear,3/13/2009,9,required,,,,,Approved,
ART 3850,602,Mary Arnold,,978-0-13-714582-9,Emphasis Art,"Clements, Robert D., Wachowiak, Frank D., Clements, Robert, and Wachowiak, Frank",Pear,3/13/2009,9,required,,,,,Approved,
ART 6000,1,Lisa Robinson,16,978-1-4767-9446-4,The Well-Gardened Mind : The Restorative Power of Nature,"Stuart-Smith, Sue",Scribner,7/7/2020,,required,,,*,*,Approved,Lisa Robinson
ART 6000,1,Lisa Robinson,16,978-0-520-30074-3,Environmental Justice in a Moment of Danger,"Sze, Julie",University of California Press,1/7/2020,,required,,,,,Approved,Lisa Robinson
ART 6000,1,Lisa Robinson,16,978-1-57131-381-2,Rising : Dispatches from the New American Shore,"Rush, Elizabeth, O'Connor, Susan, Smith, Annick, and Whybrow, Helen",Milkweed Editions,3/12/2019,,required,,,*,,Approved,Lisa Robinson
ART 6801,601,Mary Arnold,,978-0-13-444989-0,SuperVision and Instructional Leadership : A Developmental Approach,"Glickman, Carl D., Gordon, Stephen P., Ross-Gordon, Jovita M., Glickman, Carl, Gordon, Stephen, and Ross-Gordon, Jovita",Pearson Education,1/8/2017,10,required,,,,,Approved,
ART 6801,601,Mary Arnold,,978-1-878424-93-8,The Four Agreements (Illustrated Edition) : A Practical Guide to Personal Freedom (Four-Color Illustrated Ed. ),"Ruiz, Don Miguel and Mills, Janet","Amber-Allen Publishing, Incorporated",11/15/2011,,required,,,,,Approved,
ARTH 1905,1,Ronald Graziani,,978-9970-27-135-1,Varieties Of Visual Experience,,Ecurc,,null,choice,,,,,Approved,
ARTH 1907,601,Punam Madhok,,978-0-13-447926-2,Art History Vol 2,"Stokstad, Marilyn, Cothren, Michael, and Cothren, Michael W.",Pearson Education,1/4/2017,6,required,,,,,Approved,Susan Stancombe
ARTH 3915,1,Michael Duffy,20,978-0-13-192970-8,Synder's Medieval Art (ed Luttikhuizen),"Luttikhuizen, Henry and Verkerk, Dorothy",Pear,6/28/2005,2,required,,,*,,Approved,Michael Duffy
ARTH 3920,1,Punam Madhok,,978-0-7148-3496-2,Indian Art,"Dehejia, Vidya",Phaid,12/17/1997,,optional,,,,,Approved,
ARTH 3920,1,Punam Madhok,,978-0-13-183063-9,History Of Far Eastern Art,"Lee, Sherman E.",Pear,12/31/2002,5,optional,,,,,Approved,
ARTH 3920,1,Punam Madhok,,978-0-520-29481-3,"The Arts of China, Sixth Edition, Revised and Expanded","Sullivan, Michael and Vainker, Shelagh",University of California Press,8/7/2018,6,required,,,,,Approved,
ARTH 3920,2,Punam Madhok,,978-0-7148-3496-2,Indian Art,"Dehejia, Vidya",Phaid,12/17/1997,,optional,,,,,Approved,
ARTH 3920,2,Punam Madhok,,978-0-13-183063-9,History Of Far Eastern Art,"Lee, Sherman E.",Pear,12/31/2002,5,optional,,,,,Approved,
ARTH 3920,2,Punam Madhok,,978-0-520-29481-3,"The Arts of China, Sixth Edition, Revised and Expanded","Sullivan, Michael and Vainker, Shelagh",University of California Press,8/7/2018,6,required,,,,,Approved,
ARTH 3935,1,Punam Madhok,,978-0-19-501432-7,Signs & Symbols In Christian Art,"Ferguson, George",Oup,12/31/1966,,required,,,,,Approved,
ARTH 3935,1,Punam Madhok,,978-0-14-044789-7,Metamorphoses (trans Raeburn),Ovid,Vp,8/3/2004,,required,,,,,Approved,
ARTH 3935,1,Punam Madhok,,978-0-13-603372-1,Seventeenth Century Art & Architecture,"Harris, Ann Sutherland",Pear,12/27/2007,2,optional,,,,,Approved,
ARTH 3961,601,Jessica Christie,20,978-0-19-994754-6,Native North American Art,"Berlo, Janet Catherine and Phillips, Ruth B.","Oxford University Press, Incorporated",9/2/2014,2,required,,,*,,Approved,Jessica Christie
ARTH 4920,1,Michael Duffy,20,978-0-205-70799-7,Nineteenth-century European Art,"Chu, Petra ten-Doesschate",Pear,12/27/2010,3,required,,,*,,Approved,Michael Duffy
ARTH 6913,1,Punam Madhok,,978-0-7148-3496-2,Indian Art,"Dehejia, Vidya",Phaid,12/17/1997,,optional,,,,,Approved,
ARTH 6913,1,Punam Madhok,,978-0-13-183063-9,History Of Far Eastern Art,"Lee, Sherman E.",Pear,12/31/2002,5,optional,,,,,Approved,
ARTH 6913,1,Punam Madhok,,978-0-520-29481-3,"The Arts of China, Sixth Edition, Revised and Expanded","Sullivan, Michael and Vainker, Shelagh",University of California Press,8/7/2018,6,required,,,,,Approved,
ARTH 6920,1,Michael Duffy,5,978-0-205-70799-7,Nineteenth-century European Art,"Chu, Petra ten-Doesschate",Pear,12/27/2010,3,required,,,*,,Approved,Michael Duffy
ARTH 6935,1,Punam Madhok,,978-0-13-603372-1,Seventeenth Century Art & Architecture,"Harris, Ann Sutherland",Pear,1/1/2007,2,optional,,,,,Approved,
ARTH 6935,1,Punam Madhok,,978-0-14-044789-7,Metamorphoses (trans Raeburn),Ovid,Vp,1/1/2004,null,required,,,,,Approved,
ARTH 6935,1,Punam Madhok,,978-0-19-501432-7,Signs & Symbols In Christian Art,"Ferguson, George",Oup,1/1/1966,null,required,,,,,Approved,
ARTH 6961,601,Jessica Christie,1,978-0-19-994754-6,Native North American Art,"Berlo, Janet Catherine and Phillips, Ruth B.","Oxford University Press, Incorporated",9/2/2014,2,required,,,*,,Approved,Jessica Christie
ATEP 2800,600,Kathleen Flanagan,,978-0-8036-5904-9,Taber's Cyclopedic Medical Dictionary,VENES,"Davis Company, F. A.",1/31/2017,23,optional,,,*,*,Approved,Kathleen Flanagan
ATEP 2800,600,Kathleen Flanagan,,978-1-63091-299-4,Medical Terminology with Case Studies in Sports Medicine,"Walsh Flanagan, Katie","SLACK, Incorporated",8/15/2016,2,required,,,,,Approved,Kathleen Flanagan
ATEP 2800,601,Kathleen Flanagan,,978-0-8036-5904-9,Taber's Cyclopedic Medical Dictionary,VENES,"Davis Company, F. A.",1/31/2017,23,optional,,,*,*,Approved,Kathleen Flanagan
ATEP 2800,601,Kathleen Flanagan,,978-1-63091-299-4,Medical Terminology with Case Studies in Sports Medicine,"Walsh Flanagan, Katie","SLACK, Incorporated",8/15/2016,2,required,,,,,Approved,Kathleen Flanagan
ATEP 4320,1,Sharon Moore,14,978-1-4534-0304-4,Leadership and Management Coursepack,Sharon Moore,Ecurc,1/1/2020,2nd,required,,,,,Approved,SHARON MOORE
ATEP 4860,1,Andrew Pickett,14,978-1-61711-982-8,Special Tests for Orthopedic Examination,"Konin, Jeff G., Lebsack, Denise, Valier, Alison Snyder, and Isear, Jr., Jerome A.","SLACK, Incorporated",12/15/2015,4,optional,,,*,,Approved,Andrew Pickett
ATEP 4860,2,Andrew Pickett,14,978-1-61711-982-8,Special Tests for Orthopedic Examination,"Konin, Jeff G., Lebsack, Denise, Valier, Alison Snyder, and Isear, Jr., Jerome A.","SLACK, Incorporated",12/15/2015,4,optional,,,*,,Approved,Andrew Pickett
ATMO 1300,602,Thomas Rickenbach,60,978-1-305-62845-8,Essentials of Meteorology : An Invitation to the Atmosphere,"Ahrens, C. Donald and Henson, Robert",Brooks/Cole,1/1/2017,8,recommended,,,*,*,Approved,Thomas Rickenbach
BIME 6200,1,Sunghan Kim,5,978-0-471-67600-3,Medical Instrumentation Application & Design,,Wiley,2/3/2009,4,required,,,,,Approved,Sunghan Kim
BIOL 1050,1,Anne Bunnell,,978-1-319-10634-8,LaunchPad for What Is Life? a Guide to Biology with Physiology (Twelve Month Access),"Phelan, Jay","Freeman & Company, W. H.",5/2/2018,4,required,,,*,*,Approved,
BIOL 1050,2,Anne Bunnell,,978-1-319-10634-8,LaunchPad for What Is Life? a Guide to Biology with Physiology (Twelve Month Access),"Phelan, Jay","Freeman & Company, W. H.",5/2/2018,4,required,,,*,*,Approved,
BIOL 1050,601,Chequita Brooks,35,978-1-319-06545-4,What Is Life? a Guide to Biology,"Phelan, Jay","Freeman & Company, W. H.",12/22/2017,4,required,,,*,*,Approved,Chequita Brooks
BIOL 1050,602,Chequita Brooks,35,978-1-319-06545-4,What Is Life? a Guide to Biology,"Phelan, Jay","Freeman & Company, W. H.",12/22/2017,4,required,,,*,*,Approved,Chequita Brooks
BIOL 1050,605,Christopher Moore,150,978-1-319-06545-4,What Is Life? a Guide to Biology,"Phelan, Jay","Freeman & Company, W. H.",12/22/2017,4,recommended,,,,,Approved,Christopher Moore
BIOL 1051,1,,48,978-1-5339-2766-8,Exploring Biology,ECU Biology Dept,HaydenMcNeil,,Thirteenth,required,,,,,Approved,Taria Crenshaw
BIOL 1051,2,,48,978-1-5339-2766-8,Exploring Biology,ECU Biology Dept,HaydenMcNeil,,Thirteenth,required,,,,,Approved,Taria Crenshaw
